date_assumed_office,name,office_title,party
,Al Green,U.S. House Texas District 9,Democratic Party
2011,Bill Flores,U.S. House Texas District 17,Republican Party
,Brian Babin,U.S. House Texas District 36,Republican Party
,Eddie Bernice Johnson,U.S. House Texas District 30,Democratic Party
,Henry Cuellar,U.S. House Texas District 28,Democratic Party
2013,Joaquin Castro,U.S. House Texas District 20,Democratic Party
,Jodey Arrington,U.S. House Texas District 19,Republican Party
,John Carter,U.S. House Texas District 31,Republican Party
2001,John Culberson,U.S. House Texas District 7,Republican Party
,John Ratcliffe,U.S. House Texas District 4,Republican Party
,Kay Granger,U.S. House Texas District 12,Republican Party
2005,Kenny Marchant,U.S. House Texas District 24,Republican Party
1997,Kevin Brady,U.S. House Texas District 8,Republican Party
1995,Lloyd Doggett,U.S. House Texas District 35,Democratic Party
,Mac Thornberry,U.S. House Texas District 13,Republican Party
,Marc Veasey,U.S. House Texas District 33,Democratic Party
,Michael McCaul,U.S. House Texas District 10,Republican Party
,Pete Olson,U.S. House Texas District 22,Republican Party
,Pete Sessions,U.S. House Texas District 32,Republican Party
,Randy Weber,U.S. House Texas District 14,Republican Party
,Sheila Jackson Lee,U.S. House Texas District 18,Democratic Party
,Will Hurd,U.S. House Texas District 23,Republican Party
,Mia Love,U.S. House Utah District 4,Republican Party
,Rob Bishop,U.S. House Utah District 1,Republican Party
,Peter Welch,U.S. House Vermont At-large district,Democratic Party
,Barbara Comstock,U.S. House Virginia District 10,Republican Party
,David Brat,U.S. House Virginia District 7,Republican Party
2015-01-03,Don Beyer,U.S. House Virginia District 8,Democratic Party
,Morgan Griffith,U.S. House Virginia District 9,Republican Party
,Rob Wittman,U.S. House Virginia District 1,Republican Party
,Cathy McMorris Rodgers,U.S. House Washington District 5,Republican Party
,Dan Newhouse,U.S. House Washington District 4,Republican Party
,Denny Heck,U.S. House Washington District 10,Democratic Party
,Jaime Herrera Beutler,U.S. House Washington District 3,Republican Party
,Rick Larsen,U.S. House Washington District 2,Democratic Party
,Suzan DelBene,U.S. House Washington District 1,Democratic Party
,Alexander Mooney,U.S. House West Virginia District 2,Republican Party
,David McKinley,U.S. House West Virginia District 1,Republican Party
,Glenn Grothman,U.S. House Wisconsin District 6,Republican Party
,Jim Sensenbrenner,U.S. House Wisconsin District 5,Republican Party
,Mark Pocan,U.S. House Wisconsin District 2,Democratic Party
,Paul Ryan,U.S. House Wisconsin District 1,Republican Party
,Ron Kind,U.S. House Wisconsin District 3,Democratic Party
,Sean Duffy,U.S. House Wisconsin District 7,Republican Party
,Liz Cheney,U.S. House Wyoming At-large District,Republican Party
1997,Adam Smith,U.S. House Washington District 9,Democratic Party
,Alcee L. Hastings,U.S. House Florida District 20,Democratic Party
,Andy Harris,U.S. House Maryland District 1,Republican Party
2011,Bill Johnson,U.S. House Ohio District 6,Republican Party
2007,Bob Latta,U.S. House Ohio District 5,Republican Party
,Bobby Rush,U.S. House Illinois District 1,Democratic Party
,Bobby Scott,U.S. House Virginia District 3,Democratic Party
,Carolyn B. Maloney,U.S. House New York District 12,Democratic Party
2011,Charles J. Fleischmann,U.S. House Tennessee District 3,Republican Party
,Chris Collins,U.S. House New York District 27,Republican Party
,Chris Smith,U.S. House New Jersey District 4,Republican Party
,Chris Stewart,U.S. House Utah District 2,Republican Party
,Daniel Donovan,U.S. House New York District 11,Republican Party
,Daniel Webster,U.S. House Florida District 11,Republican Party
,David Scott,U.S. House Georgia District 13,Democratic Party
,David Young,U.S. House Iowa District 3,Republican Party
,Brian Mast,U.S. House Florida District 18,Republican Party
2011,Dennis A. Ross,U.S. House Florida District 15,Republican Party
,Filemon Vela,U.S. House Texas District 34,Democratic Party
,Paul Mitchell,U.S. House Michigan District 10,Republican Party
,Gerry Connolly,U.S. House Virginia District 11,Democratic Party
,Karen Handel,U.S. House Georgia District 6,Republican Party
,Todd Rokita,U.S. House Indiana District 4,Republican Party
,Gus M. Bilirakis,U.S. House Florida District 12,Republican Party
1993,James Clyburn,U.S. House South Carolina District 6,Democratic Party
,Jason Lewis,U.S. House Minnesota District 2,Republican Party
,Jason Smith,U.S. House Missouri District 8,Republican Party
,Erik Paulsen,U.S. House Minnesota District 3,Republican Party
2011,Jeff Duncan,U.S. House South Carolina District 3,Republican Party
2001,Darrell Issa,U.S. House California District 49,Republican Party
,Jeffrey Fortenberry,U.S. House Nebraska District 1,Republican Party
2003,Jim Cooper,U.S. House Tennessee District 5,Democratic Party
2007,Jim Jordan,U.S. House Ohio District 4,Republican Party
1989,Jim McGovern,U.S. House Massachusetts District 2,Democratic Party
2001,Joe Wilson,U.S. House South Carolina District 2,Republican Party
,Clay Higgins,U.S. House Louisiana District 3,Republican Party
,John Lewis,U.S. House Georgia District 5,Democratic Party
,Francis Rooney,U.S. House Florida District 19,Republican Party
,José Serrano,U.S. House New York District 15,Democratic Party
,Keith Ellison,U.S. House Minnesota District 5,Democratic Party
2005,"Louis B. ""Louie"" Gohmert Jr.",U.S. House Texas District 1,Republican Party
,Mark Meadows,U.S. House North Carolina District 11,Republican Party
,Mark Sanford,U.S. House South Carolina District 1,Republican Party
,Mike Bishop,U.S. House Michigan District 8,Republican Party
,Michael C. Burgess,U.S. House Texas District 26,Republican Party
,Kyrsten Sinema,U.S. House Arizona District 9,Democratic Party
2011,Kevin Yoder,U.S. House Kansas District 3,Republican Party
1995,Michael Doyle,U.S. House Pennsylvania District 14,Democratic Party
,Mike Gallagher,U.S. House Wisconsin District 8,Republican Party
,Michael K. Simpson,U.S. House Idaho District 2,Republican Party
,Derek Kilmer,U.S. House Washington District 6,Democratic Party
,Michael Turner,U.S. House Ohio District 10,Republican Party
2009,Mike Coffman,U.S. House Colorado District 6,Republican Party
